PWSCity	WSState	WSZipCode	lon	lat
KENNEWICK	WA	99338	-119.1372338	46.2112458
ELBE	WA	98330	-122.1937212	46.7648287
ELMER CITY	WA	99124	-118.9533078	48.0008814
ELK	WA	99009	-117.2874496	48.0356388
KENT	WA	98042	-122.1123384	47.3661299
FOUR LAKES	WA	99014	-117.5953238	47.5601988
ENDICOTT	WA	99125	-117.6829807	46.9257176
MT VERNON	WA	98274	-122.3340474	48.421216
MARCUS	WA	99151	-118.0591838	48.6643932
FARMINGTON	WA	99128	-117.0440605	47.0893399
GOOSE PRAIRIE	WA	98929	-121.2697387	46.8972761
RENTON	WA	98059	-122.1226014	47.4937663
FIRCREST	WA	98466	-122.5159586	47.2395428
PUYALLUP	WA	98374	-122.2928974	47.1853785
SPRAGUE	WA	99032	-117.9755065	47.3001584
MAPLE FALLS	WA	98266	-122.077093	48.9242888
NORTH BONNEVILLE	WA	98639	-121.9711934	45.6373393
JOINT BASE LEWIS MCCORD	WA	98433	-122.529389	47.1095037
ROCKFORD	WA	99030	-117.1307471	47.4521207
LAKEBAY	WA	98349	-122.7762912	47.2648241
FRUITLAND	WA	99129	-118.1816902	48.0162584
POMEROY	WA	99347	-117.6026896	46.4748738
GARFIELD	WA	99130	-117.1410073	47.0079487
GEORGE	WA	98824	-119.8523727	47.0763199
RIMROCK	WA	98937	-121.1250795	46.6642842
REDMOND	WA	98053	-122.121512	47.6739881
WAUCONDA	WA	98859	-118.9145826	48.8167115
TROUT LAKE	WA	98650	-121.528137	45.9973427
SEATTLE	WA	98115	-122.2982224	47.6849444
CHIMACUM	WA	98325	-122.7698454	47.9706273
NEWMAN LAKE	WA	99025	-117.0688235	47.7443433
PACKWOOD	WA	98361	-121.6574333	46.7187427
CARNATION	WA	98024	-121.8997357	47.5847296
GOLD BAR	WA	98251	-121.6970606	47.8567695
BREMERTON	WA	98311	-122.6447815	47.6355461
GRANGER	WA	98932	-120.1872727	46.3420741
OYSTERVILLE	WA	98641	-124.0283336	46.5490216
SEATTLE	WA	98116	-122.4047843	47.5745802
LIBERTY LAKE	WA	99019	-117.1124241	47.6743428
AUBURN	WA	98002	-122.2192679	47.2945159
TACOMA	WA	98499	-122.5019797	47.1616994
ORCAS	WA	98280	-122.8894913	48.5952726
SKYKOMISH	WA	98288	-121.3601014	47.7092746
COLBERT	WA	99005	-117.3415938	47.8266668
SPOKANE	WA	99212	-117.3086825	47.6625469
HARRINGTON	WA	99134	-118.2544187	47.4809872
HARTLINE	WA	99135	-119.1083534	47.6904251
TWISP	WA	98856	-120.122303	48.3634784
AUBURN	WA	98071	-122.23	47.31
GRANITE FALLS	WA	98252	-121.968742	48.0839895
NEWCASTLE	WA	98056	-122.1556769	47.5389889
SHORELINE	WA	98177	-122.3680128	47.7398257
LAKEWOOD	WA	98499	-122.5019797	47.1616994
GREENBANK	WA	98253	-122.5731978	48.0982722
OKANOGAN	WA	98840	-119.5833869	48.361262
INCHELIUM	WA	99138	-118.1973729	48.2970435
HUNTERS	WA	99137	-118.1241099	48.1606906
ILWACO	WA	98624	-124.0432099	46.3089891
INDEX	WA	98256	-121.5551086	47.8206605
BOTHELL	WA	98035	-122.1905767	47.7611675
OPPORTUNITY	WA	99214	-117.2391393	47.6595156
SPOKANE	WA	99206	-117.2454313	47.6098115
WESTPORT	WA	98595	-124.1017645	46.8971588
WATERVILLE	WA	98858	-120.0615442	47.6543836
MANSFIELD	WA	98858	-119.6381044	47.8097546
SEATTLE	WA	98103	-122.3425575	47.6600087
VALLEY	WA	99181	-117.7248441	48.1751444
KAHLOTUS	WA	99335	-118.5510804	46.6443548
SPOKANE	WA	99215	-117.21	47.7
KALAMA	WA	98625	-122.8445509	46.0084472
KAPOWSIN	WA	98344	-122.2366238	46.9842284
KENT	WA	98032	-122.245159	47.4116866
STEILACOOM	WA	98388	-122.6026274	47.1698197
SEATTLE	WA	98178	-122.2549736	47.5014209
SHORELINE	WA	98155	-122.3000183	47.7612471
SEATTLE	WA	98146	-122.3658208	47.4993052
BURIEN	WA	98166	-122.3567244	47.4475151
DES MOINES	WA	98198	-122.3242902	47.4017661
RENTON	WA	98055	-122.2055058	47.4623372
KENMORE	WA	98028	-122.2440148	47.7573202
NEWCASTLE	WA	98059	-122.1556769	47.5389889
PRESTON	WA	98050	-121.9353189	47.5256266
FEDERAL WAY	WA	98063	-122.31	47.31
THORP	WA	98946	-120.671185	47.0679018
KITTITAS	WA	98934	-120.416799	46.9802702
MATLOCK	WA	98560	-123.407894	47.2381309
MUKILTEO	WA	98275	-122.3072458	47.902034
LACROSSE	WA	99143	-117.8818834	46.8140449
MANSON	WA	98831	-120.1567011	47.8847447
MOUNT VERNON	WA	98237	-122.3383369	48.4160092
UNIVERSITY PLACE	WA	98464	-122.44	47.25
LAMONT	WA	99017	-117.9052213	47.2015493
LATAH	WA	99018	-117.155461	47.2815642
JOINT BASE LEWIS-MCCHORD	WA	98433	-122.529389	47.1095037
UNIVERSITY PLACE	WA	98467	-122.538047	47.2046437
LINCOLN	WA	99147	-118.4375725	47.8349676
LIND	WA	99341	-118.5868385	46.9758586
BREMERTON	WA	98337	-122.6397033	47.5685263
SEATTLE	WA	98109	-122.3456919	47.6288591
LYNNWOOD	WA	98046	-122.31	47.82
MABTON	WA	98935	-119.9967079	46.2148534
ROSALIA	WA	99170	-117.3699117	47.2360052
ARLINGTON	WA	98/22	-77.048881	38.8921157
MANCHESTER	WA	98353	-122.5447139	47.5550628
MANSFIELD	WA	98830	-119.6381044	47.8097546
VASHON ISLAND	WA	98070	-122.4598502	47.4473204
MCCLEARY	WA	98557	-123.2654308	47.053151
BURTON	WA	98013	-122.46	47.39
TACOMA	WA	98409	-122.4830031	47.2069941
METALINE FALLS	WA	99152	-117.3724667	48.8638091
METHOW	WA	98834	-120.0037259	48.1301694
SEATTLE	WA	98105	-122.2683743	47.6614244
MILTON	WA	98354	-122.3178467	47.2498904
SPOKANE	WA	99214	-117.2489146	47.6569998
EDGEWOOD	WA	98372	-122.293732	47.2501005
SHAW ISLAND	WA	98286	-122.9293946	48.5836081
MOUNTLAKE TERRACE	WA	98043	-122.3087405	47.7881528
SPOKANE	WA	99223	-117.3272224	47.5888029
NASELLE	WA	98638	-123.8107056	46.3653817
LA CENTER	WA	98629	-122.6703785	45.8623367
NEILTON	WA	98566	-123.8935678	47.4230199
NINE MILE FALLS	WA	99026	-117.676734	47.8067268
OLYMPIA	WA	98503	-122.7982856	47.0180992
NOOKSACK	WA	98276	-122.3175062	48.9288021
KIRKLAND	WA	98083	-122.21	47.68
BREMERTON	WA	98310	-122.6200119	47.5940141
SPOKANE	WA	99207	-117.3932074	47.6939041
OAKVILLE	WA	98568	-123.2323686	46.8403765
ODESSA	WA	99159	-118.6908274	47.3332023
LYNNWOOD	WA	98037	-122.2881807	47.8419525
BUENA	WA	98921	-120.3203476	46.4298269
MILL CREEK	WA	98012	-122.2042966	47.8600971
PACIFIC	WA	98047	-122.247529	47.2611543
PALISADES	WA	98845	-119.9148969	47.419075
PALOUSE	WA	99161	-117.0757252	46.9101688
COPALIS	WA	98535	-124.1143856	47.0870791
PE ELL	WA	98572	-123.2973663	46.5703798
ETHEL	WA	98542	-122.7404917	46.5322276
SNOHOMISH	WA	98291	-122.1	47.9099999
SPOKANE VALLEY	WA	99206	-117.2454313	47.6098115
RONALD	WA	98940	-121.0234182	47.2351185
VANCOUVER	WA	98660	-122.7488096	45.6837914
PULLMAN	WA	99163	-117.1817377	46.7297771
QUINAULT	WA	98575	-123.7814796	47.4300904
RAINIER	WA	98576	-122.6884595	46.888155
GLENOMA	WA	98366	-122.1677962	46.5073338
REDMOND	WA	98073	-122.12	47.67
SEATTLE	WA	98125	-122.3009337	47.7170204
COUGAR	WA	98616	-122.1561155	46.1794789
ROSLYN	WA	98941	-120.9928957	47.2294056
LAKEWOOD	WA	98409	-122.4780243	47.2019421
